AgentId,TriggerSchemaName,MetricDate,Total Autonomous Runs per trigger,Number of successful runs per trigger,Number of failed runs per trigger,Total duration of all runs per trigger,Total duration of all successful runs per trigger,Total duration of all failed runs per trigger,Number of successful runs with knowledge sources used per trigger,Number of failed runs with knowledge sources used per trigger,Number of successful runs with actions used per trigger,Number of failed runs with actions used per trigger,Number of successful runs where no operation ( use of an action or knowledge source access) was done per trigger,Number of failed runs where no operation ( use of an action or knowledge source access) was done per trigger
3bbbdfc6-17f8-c90d-5829-14f3b1738a51,crad4_bml.ExternalTriggerComponent.Whenanitemiscreated.57933ba0-7281-404f-99ff-a10a36b81775,2026-01-11,203,203,0,1013,1013,0,0,0,203,0,0,0
578241a6-ff5e-ce63-21bc-18fd3b399892,d2017a6a-0d2b-ccb5-deb2-258eb0022224,2026-01-11,90,90,0,3209,3209,0,0,0,0,0,90,0
33e839ea-074e-e138-16dc-4a867812860d,crad4_competitiveIntelAgent.ExternalTriggerComponent.RecurringCo.174a6a8a-8081-4434-bce1-f52bf355cef,2026-01-11,7,7,0,158,158,0,4,0,4,0,2,0
f61d148c-76e6-3001-55a8-ee4ca47ace11,crad4_inboxTaskManager.ExternalTriggerComponent.Whenanewemailarr.7d8f5988-17ac-4310-8156-b714c0e9016,2026-01-11,203,0,203,1064,0,1064,0,0,0,203,0,0
578241a6-ff5e-ce63-21bc-18fd3b399892,cr21a_copilotDailyTipsDev.ExternalTriggerComponent.RecurringCopi.12a96c28-7e0f-4067-9cbd-8b0662437e7,2026-01-11,46,46,0,1764,1764,0,0,0,0,0,46,0
ae0ffdb4-3f51-f4c4-87a7-53c2b46a0c18,c0f8c8f0-a8c7-7743-d014-fd00baee6dc6,2026-01-11,1,1,0,6,6,0,0,0,0,0,1,0
f61d148c-76e6-3001-55a8-ee4ca47ace11,crad4_inboxTaskManager.ExternalTriggerComponent.Whenanewemailarr.7d8f5988-17ac-4310-8156-b714c0e9016,2026-01-18,151,0,151,790,0,790,0,0,0,151,0,0
33e839ea-074e-e138-16dc-4a867812860d,crad4_competitiveIntelAgent.ExternalTriggerComponent.RecurringCo.174a6a8a-8081-4434-bce1-f52bf355cef,2026-01-18,7,7,0,182,182,0,7,0,3,0,0,0
ae0ffdb4-3f51-f4c4-87a7-53c2b46a0c18,c0f8c8f0-a8c7-7743-d014-fd00baee6dc6,2026-01-18,1,1,0,7,7,0,0,0,0,0,1,0
578241a6-ff5e-ce63-21bc-18fd3b399892,cr21a_copilotDailyTipsDev.ExternalTriggerComponent.RecurringCopi.12a96c28-7e0f-4067-9cbd-8b0662437e7,2026-01-18,98,98,0,5838,5838,0,3,0,0,0,95,0
3bbbdfc6-17f8-c90d-5829-14f3b1738a51,crad4_bml.ExternalTriggerComponent.Whenanitemiscreated.57933ba0-7281-404f-99ff-a10a36b81775,2026-01-18,106,101,5,566,532,34,0,0,101,5,0,0
