AgentId,ActionSchemaName,MetricDate,Total Runs per action,Number of successful actions in runs,Number of actions in successful runs,Number of successful actions in successful runs
d016454a-df0f-bde2-ca7b-966e23c4bd35,cr2df_agent.action.SQLServer-ExecuteaSQLqueryV2_2wZ,2026-02-22,4,4,0,0
abe21e26-cc0e-d6c4-f416-84aeaa58a705,copilots_header_4164c.action.WordOnlineBusiness-PopulateaMicrosoftWordtemplate,2026-02-22,1,0,0,0
ab0e793c-922c-a546-1e96-a7e20fbfa785,crad4_sharePointListQueryAssistant.action.SharePoint-Getitems,2026-02-22,1,1,0,0
d016454a-df0f-bde2-ca7b-966e23c4bd35,cr2df_agent.action.SQLServer-ExecuteaSQLqueryV2_Tkt,2026-02-22,6,4,0,0
d02b8615-c9b2-83e9-6872-5b8a58a38c4c,auto_agent_F53D3.action.VE_Indaba_Finder,2026-02-22,7,7,0,0
f61d148c-76e6-3001-55a8-ee4ca47ace11,crad4_inboxTaskManager.action.Planner-Createatask,2026-02-22,245,0,0,0
50f916f3-2f84-4e0b-8468-8b8e8f506bc0,cr103_agent1.action.SQLServer-GetrowsV2,2026-02-22,3,1,0,0
b7b409ca-6516-2e27-a5b2-e7c823fa4654,crad4_irishGrantsResearchAgent.action.Office365Outlook-SendanemailV2,2026-02-22,1,1,1,1
b1c8fde5-b9e3-717f-fb32-ad08179242df,copilots_header_4f137.action.Office365Outlook-CreateeventV4,2026-02-22,1,1,0,0
33e839ea-074e-e138-16dc-4a867812860d,crad4_competitiveIntelAgent.action.Office365Outlook-SendanemailV2,2026-02-22,6,6,6,6
f61d148c-76e6-3001-55a8-ee4ca47ace11,crad4_inboxTaskManager.action.Planner-Createatask~ListGroups,2026-02-22,159,159,1,1
1b9df7bf-87a9-3017-5d98-6e6b9125eec8,crad4_rdaInfoBot.action.SharePoint-Getitems,2026-02-22,7,7,0,0
abe21e26-cc0e-d6c4-f416-84aeaa58a705,copilots_header_4164c.action.CAFCreator,2026-02-22,5,5,0,0
bafdecf0-bff2-afee-ee8a-0e22c63d41b7,crad4_emailDraftAssistant.action.Office365Outlook-Draftanemailmessage,2026-02-22,10,10,10,10
d02b8615-c9b2-83e9-6872-5b8a58a38c4c,auto_agent_F53D3.action.VE_Indaba_Ranker,2026-02-22,16,9,0,0
d02b8615-c9b2-83e9-6872-5b8a58a38c4c,auto_agent_F53D3.action.VE_Indaba_DeepDive,2026-02-22,2,2,0,0
432b3a6d-168a-a766-89d8-ef47a9c99084,copilots_header_aa80c.action.MySQL-Gettables_S0M,2026-03-01,3,3,0,0
3f0a5559-0596-3fe5-aa0f-59899cb9169f,crad4_leaNaLeadNotifierAgent.action.Office365Outlook-SendanemailV2,2026-03-01,79,79,79,79
432b3a6d-168a-a766-89d8-ef47a9c99084,copilots_header_aa80c.action.MySQL-Getrows_bjp,2026-03-01,11,11,0,0
ab0e793c-922c-a546-1e96-a7e20fbfa785,crad4_sharePointListQueryAssistant.action.SharePoint-Getitems,2026-03-01,1,1,0,0
48e2700a-e001-847c-88f2-a2f32ed56e64,cua_agent_VT_mT.action.Computeruse-Computeruse~ExecuteCUA,2026-03-01,1,1,0,0
1b9df7bf-87a9-3017-5d98-6e6b9125eec8,crad4_rdaInfoBot.action.SharePoint-Getitems,2026-03-01,1,1,0,0
35b60863-5ea2-8181-3a6d-8e6d672db7ea,crad4_sharePointOrderNumberValidator.action.SharePoint-Getfilecontent,2026-03-01,19,19,19,19
aafe92e4-b32d-77f4-09ef-1d131aa5787e,cre4a_regulatoryDev.action.MicrosoftDataverse-Listrowsfromselectedenvironment,2026-03-01,1,1,0,0
d016454a-df0f-bde2-ca7b-966e23c4bd35,cr2df_agent.action.SQLServer-ExecuteaSQLqueryV2_Tkt,2026-03-01,4,2,0,0
432b3a6d-168a-a766-89d8-ef47a9c99084,copilots_header_aa80c.action.MySQL-Getrows,2026-03-01,1,0,0,0
abe21e26-cc0e-d6c4-f416-84aeaa58a705,copilots_header_4164c.action.CAFCreator,2026-03-01,6,1,0,0
aafe92e4-b32d-77f4-09ef-1d131aa5787e,cre4a_regulatoryDev.action.AzureDevOps-Getworkitemdetails,2026-03-01,3,3,0,0
